,ADJOE,WAB,EFG_O,TOR,ORB,DRB,TORD,ADJDE,EFG_D,FTRD,ADJ_T,FTR,3P_D,2P_O,3P_O,W:G
1670,97.7,-11.1,45.7,18.7,30.9,31.6,18.1,104.1,47.6,40.9,62.5,42.1,33.3,45.0,31.6,0.452
1671,105.1,-5.3,51.7,18.9,33.5,31.7,20.6,107.4,50.4,49.9,66.0,52.1,35.1,48.9,38.2,0.667
1672,99.8,-15.3,51.8,18.9,27.1,33.7,17.1,117.1,53.3,49.1,67.3,38.9,36.8,53.0,32.6,0.333
1673,105.7,-7.5,51.0,18.7,27.8,30.1,17.5,101.6,49.4,37.7,63.4,41.5,35.0,47.9,38.0,0.485
1674,111.4,-2.0,53.1,17.3,33.0,29.4,16.7,103.0,50.5,40.2,65.8,43.9,35.3,52.7,36.0,0.613
1675,92.8,-15.3,44.7,20.3,28.1,30.5,14.9,105.6,50.0,45.9,66.3,33.0,35.2,40.7,32.8,0.172
1676,106.9,-10.0,48.6,15.5,29.0,33.4,18.0,105.9,50.8,46.6,65.5,36.9,35.8,45.3,36.4,0.387
1677,91.3,-12.5,46.3,23.9,31.8,35.0,21.4,100.8,45.4,49.0,64.9,38.9,30.3,46.3,30.8,0.367
1678,99.6,-12.4,48.7,20.1,36.4,31.2,18.3,106.1,49.1,48.0,67.2,33.8,34.8,47.1,34.2,0.393
1679,108.8,-5.0,52.4,18.1,26.4,28.3,18.2,99.8,50.2,41.6,66.0,43.1,34.9,51.6,35.8,0.5
1680,101.3,-9.7,45.8,20.2,36.6,33.1,18.6,100.4,46.6,51.5,66.4,41.7,33.0,44.8,32.8,0.526
